State;Up;Down;Left;Right;Stay
1,-1|2|3|1000;-56.35516;-51.6657;-55.1757;-48.21535;-58.86452
1,-1|2|3|0100;-51.88869;-54.13449;-48.83326;-45.01717;-55.83656
1,-1|2|4|0000;-49.32146;-50.97591;-50.16692;-50.69592;-54.64556
1,-1|2|3|0010;-56.09206;-56.39293;-65.54312;-48.92324;-63.45531
1,-1|2|1|1011;-61.76681;-62.05161;-68.91792;-62.69619;-67.45706
1,-1|1|2|0110;-41.29942;-44.80068;-45.86108;-69.28;-41.67923
1,-1|1|3|0010;-55.7136;-68.96541;-53.40154;-71.65311;-53.05834
0,-1|1|1|1011;-93.02411;-93.54431;-90.56502;-91.48312;-92.69683
0,-1|0|1|1011;-99.99784;-99.99799;-99.99784;-99.99784;-99.99816
0,0|0|1|1011;-20;0;0;0;0
1,-1|1|3|1000;-47.30915;-58.51782;-35.25269;-78.76054;-46.35638
1,0|0|4|0000;-36.8502;-31.64324;-34.06454;-97.74821;-97.36117
0,0|0|4|0000;-20;0;0;0;0
1,-1|2|2|0110;-56.69342;-63.39172;-57.42965;-53.34747;-58.93507
1,0|0|2|0110;-34.02767;-99.99178;-99.9944;-114.2095;-99.98442
1,0|0|3|0010;-37.25951;-46.92303;-99.82999;-99.98396;-99.95543
0,0|0|3|0010;-20;-20;-20;0;0
1,1|2|2|1100;-62.70376;-63.26717;-57.54282;-49.36547;-62.95222
1,1|2|2|0110;-52.16027;-61.61868;-64.21389;-59.60108;-61.23651
1,1|2|2|0011;-51.18495;-54.18918;-60.40206;-58.93071;-57.77708
1,1|2|2|1010;-56.2943;-53.42648;-54.60378;-53.48371;-55.33972
1,1|2|3|0100;-56.8805;-58.39917;-50.2928;-57.0437;-60.53981
1,0|2|3|0100;-42.72522;-52.03904;-49.79976;-51.1087;-50.69835
1,-1|2|2|0011;-51.68275;-49.01683;-52.59266;-53.55474;-53.86919
1,-1|2|1|1110;-61.94137;-58.98177;-63.29838;-54.81465;-60.45924
0,-1|2|3|1000;-48.84581;-45.68584;-47.52032;-42.35823;-49.08421
0,-1|2|2|0011;-48.00179;-42.43654;-46.28231;-46.68421;-48.45835
1,-1|1|1|1110;-75.48334;-45.35709;-51.92406;-45.44886;-48.73743
1,0|0|1|1110;-99.98289;-99.98631;-99.98288;-99.98288;-99.98289
0,0|0|1|1110;0;0;0;0;0
1,0|2|2|0110;-51.88454;-51.0522;-55.07471;-50.48698;-53.60316
1,0|1|3|0100;-38.23911;-43.36847;-22.42197;-103.6564;-42.51134
1,0|0|3|1000;-99.95246;-35.46655;-45.10501;-99.92572;-99.90715
